Job_Title,Department,Salary
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,79974
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,108756
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PARAMEDIC I/C,FIRE DEPARTMENT,104430
DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,170304
DETENTION AIDE,DEPARTMENT OF POLICE,86016
DISTRICT MANAGER - HUMAN SERVICES,FAMILY AND SUPPORT SERVICES,125088
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
LIEUTENANT,DEPARTMENT OF POLICE,145854
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,74844
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CAPTAIN-EMT,FIRE DEPARTMENT,147258
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,129666
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
ASST TO THE COMMISSIONER,DEPARTMENT OF AVIATION,94704
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,76122
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
WATER RATE TAKER,DEPT OF WATER MANAGEMENT,63936
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIRE ENGINEER,FIRE DEPARTMENT,108096
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,56328
SERGEANT,DEPARTMENT OF POLICE,117900
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DEPUTY FIRE COMMISSIONER,FIRE DEPARTMENT,202980
POLICE OFFICER,DEPARTMENT OF POLICE,79974
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,58560
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,122652
PARAMEDIC,FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARAMEDIC,FIRE DEPARTMENT,93252
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,117084
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CREATIVE DIR,DAIS,114012
FIREFIGHTER,FIRE DEPARTMENT,103914
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
LIEUTENANT,DEPARTMENT OF POLICE,145854
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,82500
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,96402
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT MANAGER - AIS,DAIS,105624
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DETENTION AIDE,DEPARTMENT OF POLICE,71436
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),DEPARTMENT OF POLICE,125634
PARAMEDIC,FIRE DEPARTMENT,93252
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
LIEUTENANT,FIRE DEPARTMENT,123420
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,97032
SERGEANT,DEPARTMENT OF POLICE,125634
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,114282
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,103524
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,86016
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PROJECT MGR - MAYOR'S OFFICE,OFFICE OF THE MAYOR,97548
POLICE OFFICER,DEPARTMENT OF POLICE,79974
SERGEANT,DEPARTMENT OF POLICE,129666
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,75168
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,69972
FIRE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,75816
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ACCOUNTING TECHNICIAN,DEPARTMENT OF AVIATION,78804
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,38868
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
FIREFIGHTER,FIRE DEPARTMENT,99876
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
INVESTIGATOR-COPA,COPA,77052
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,69972
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,59352
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER,FIRE DEPARTMENT,99876
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,151860
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
COMMUNICATIONS OPERATOR II - 311,OFFICE OF EMERGENCY MANAGEMENT,53784
DISTRICT MANAGER - HUMAN SERVICES,FAMILY AND SUPPORT SERVICES,125088
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
FIREFIGHTER,FIRE DEPARTMENT,99876
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,108822
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,82500
GENERAL SUPT OF STREETS AND SANITATION,CHICAGO DEPT OF TRANSPORTATION,136812
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CLINICAL THERAPIST III,DEPARTMENT OF POLICE,98496
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SERGEANT,DEPARTMENT OF POLICE,129666
SERGEANT,DEPARTMENT OF POLICE,129666
PARAMEDIC I/C,FIRE DEPARTMENT,108096
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,87348
BUSINESS COMPLIANCE INVESTIGATOR,BUS AFFAIRS AND CONSUMER PROT,71052
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
ELECTION EQUIPMENT & SUPPLY SPEC III,BOARD OF ELECTION COMMISSIONER,50472
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
PUBLIC HEALTH NURSE III,DEPARTMENT OF PUBLIC HEALTH,113496
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,59004
DEPUTY COMMISSIONER,DAIS,148296
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIEUTENANT,DEPARTMENT OF POLICE,145854
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,102696
COORDINATING ENGINEER I,DEPT OF WATER MANAGEMENT,121404
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,118830
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SANITATION CLERK,DEPT STREETS AND SANITATION,67668
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,79974
INVESTIGATOR-COPA,COPA,93804
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,73332
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
DEPUTY DIR,DEPARTMENT OF POLICE,144216
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT,FIRE DEPARTMENT,123420
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
PARAMEDIC I/C,FIRE DEPARTMENT,101052
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
CHIEF OPERATING ENGINEER,DAIS,134888.04
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,102996
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
EPIDEMIOLOGIST II,DEPARTMENT OF PUBLIC HEALTH,85044
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
ELEVATOR INSPECTOR,DEPT OF BUILDINGS,141377.64
POLICE OFFICER,DEPARTMENT OF POLICE,93264
SERGEANT,DEPARTMENT OF POLICE,133860
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,133860
LIEUTENANT,DEPARTMENT OF POLICE,150318
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT MANAGER - AIS,DAIS,121404
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SERGEANT,DEPARTMENT OF POLICE,125634
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LEGISLATIVE AIDE,CITY COUNCIL,48696
PARALEGAL II,DEPARTMENT OF LAW,71052
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
INVESTIGATOR-COPA,COPA,93804
POLICE OFFICER,DEPARTMENT OF POLICE,84522
SAFETY ADMINISTRATOR,CHICAGO DEPT OF TRANSPORTATION,89208
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE,117690
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC,FIRE DEPARTMENT,80448
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,57624
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,134028
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SAFETY SPECIALIST - WATER MGMT,DEPT OF WATER MANAGEMENT,73464
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
POLICE ADMINISTRATIVE CLERK,DEPARTMENT OF POLICE,59004
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,85044
SERGEANT,DEPARTMENT OF POLICE,112338
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SAFETY SPECIALIST,DEPARTMENT OF AVIATION,85308
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,93804
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PUBLIC HEALTH NUTRITIONIST II,DEPARTMENT OF PUBLIC HEALTH,81816
SERGEANT,DEPARTMENT OF POLICE,133860
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIRST DEPUTY DIR,DEPARTMENT OF FINANCE,169968
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
PRINCIPAL CLERK-ELECTIONS,BOARD OF ELECTION COMMISSIONER,73092
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,82500
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
GENERAL SUPT OF STREETS AND SANITATION,CHICAGO DEPT OF TRANSPORTATION,139596
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ASST DIR,DEPARTMENT OF POLICE,142116
POLICE OFFICER,DEPARTMENT OF POLICE,93264
SERGEANT,DEPARTMENT OF POLICE,121806
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,78804
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,56040
EXEC ADMINISTRATIVE ASST I,DEPARTMENT OF AVIATION,67872
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
SENIOR ENVIRONMENTAL INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,77964
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,125634
AMBULANCE COMMANDER,FIRE DEPARTMENT,134736
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ADMINISTRATIVE ASST II,DEPT OF ADMINISTRATIVE HEARING,82500
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,97980
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,90540
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,89532
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,96402
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
SR ANALYST - MAYOR'S OFFICE,OFFICE OF THE MAYOR,108816
PARAMEDIC I/C,FIRE DEPARTMENT,101052
SENIOR AIR MASK TECHNICIAN,FIRE DEPARTMENT,112668
CAPTAIN-EMT,FIRE DEPARTMENT,151764
CHIEF PLUMBING INSPECTOR,DEPT OF BUILDINGS,139413.6
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
ASST DEPUTY CHIEF PARAMEDIC,FIRE DEPARTMENT,175464
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,56040
DIR OF ACCOUNTING,DEPARTMENT OF FINANCE,97260
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT,74424
POLICE OFFICER,DEPARTMENT OF POLICE,111966
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,38868
AUDITOR IV,DEPARTMENT OF FINANCE,141624
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,66804
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,76122
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PROJECT MANAGER,DEPARTMENT OF PUBLIC HEALTH,99504
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
TRAINING OFFICER,DEPARTMENT OF POLICE,119580
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER,FIRE DEPARTMENT,103914
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,101412
TRAINING OFFICER,DEPARTMENT OF PUBLIC HEALTH,68940
ADMINISTRATIVE SERVICES OFFICER I,PUBLIC SAFETY ADMINISTRATION,103980
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ARCHITECT IV,DEPT OF BUILDINGS,129540
PROGRAM DIR - CULTURAL AFFAIRS,DEPT OF CULTURAL AFFAIRS,114684
DETENTION AIDE,DEPARTMENT OF POLICE,82104
SERGEANT,DEPARTMENT OF POLICE,133860
CLERK III,FAMILY AND SUPPORT SERVICES,68556
LIEUTENANT,DEPARTMENT OF POLICE,150318
YOUTH SERVICES COORD,FAMILY AND SUPPORT SERVICES,99360
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE OFFICER,DEPARTMENT OF POLICE,79974
PUBLIC HEALTH ADMINISTRATOR III,DEPARTMENT OF PUBLIC HEALTH,108996
FINANCIAL OFFICER,DEPARTMENT OF AVIATION,75996
BEHAVIORAL HEALTH ASSISTANT,DEPARTMENT OF PUBLIC HEALTH,82500
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH,74424
PARALEGAL II,DEPARTMENT OF LAW,108996
LIEUTENANT-EMT (ASSIGNED AS TRAINING INSTRUCTOR),FIRE DEPARTMENT,147258
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,79974
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SUPERVISING POLICE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,109872
SERGEANT,DEPARTMENT OF POLICE,133860
FIRE ENGINEER-PARAMEDIC,FIRE DEPARTMENT,117384
ASST DIVISION SUPERINTENDENT,DEPT STREETS AND SANITATION,89532
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
